,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,17,parlé,speak
16,18,arrivé,come
17,19,devrait,should
18,20,bébé,baby
19,21,longtemps,long time
20,22,heures,hours
21,23,vont,will
22,24,pendant,while
23,25,revoir,meet again
24,26,aucune,any
25,27,place,square
26,28,parle,speak
27,29,savais,knew
28,30,étaient,were
29,31,attention,Warning
30,33,pourrais,could
31,34,affaire,case
32,35,donner,give
33,36,type,type
34,37,leurs,their
35,38,donné,given
36,39,train,train
37,40,corps,body
38,41,endroit,place
39,42,yeux,eyes
40,43,façon,way
41,44,dont,whose
42,45,trouve,find
43,46,premier,first
44,47,perdu,lost
45,48,main,hand
46,49,première,first
47,50,côté,side
48,51,pouvoir,power
49,52,sois,be
50,53,tiens,here
51,54,matin,morning
52,55,tellement,so much
53,56,enfant,child
54,57,point,point
55,58,venu,came
56,59,suite,after
57,60,venez,come
58,61,devant,in front of
59,62,vers,towards
60,63,minutes,minutes
61,64,demandé,request
62,65,chambre,bedroom
63,66,mis,placed
64,67,belle,beautiful
65,68,droit,law
66,69,aujourd'hui,today
67,70,mari,husband
68,71,cause,cause
69,72,espère,hope
70,73,eau,water
71,75,parti,left
72,76,nouvelle,new
73,77,boulot,job
74,78,arrêter,Stop
75,79,dirait,would say
76,80,terre,Earth
77,81,compte,account
78,82,donne,given
79,83,loin,far
80,84,fin,end
81,85,croire,believe
82,86,chérie,sweetheart
83,87,gros,large
84,88,plutôt,rather
85,89,aura,will have
86,90,filles,girls
87,91,jouer,to play
88,92,bureau,office
